,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,
Pengana Private Equity Trust,-0.004,0.251,0.18,-0.082,0.421,0.232,-1.125,2.475,1.823,-0.535,2.298,1.09
Franklin Global Growth A,-0.002,0.962,-0.396,0.44,-0.046,0.034,-2.02,27.03,-8.465,7.346,-0.655,0.432
Aoris International Fund B,-0.002,1.124,-0.056,0.063,-0.048,0.188,-0.727,15.752,-0.779,0.593,-0.38,1.252
Zurich Investments Concentrated Glbl Gr,-0.002,0.928,-0.214,0.186,0.056,-0.087,-1.026,19.61,-4.187,2.496,0.646,-0.884
Lazard Global Equity Franchise,0.001,1.011,0.485,0.24,-0.226,0.198,0.407,20.245,8.179,3.035,-2.329,1.744
Ironbark Royal London ConcentratedGlbShr,-0.0,0.949,0.04,0.081,-0.114,0.053,-0.278,29.245,0.945,1.487,-1.802,0.747
Nanuk New World,-0.0,0.932,-0.034,0.307,-0.291,0.419,-0.03,17.563,-0.603,3.679,-3.006,3.807
Apis Global Long/Short W,0.001,0.271,-0.103,0.09,0.36,-0.464,0.689,6.311,-1.813,1.25,4.286,-4.935
Fidelity Asia,0.002,0.458,-0.12,0.271,-0.224,0.114,0.816,5.55,-1.109,1.954,-1.39,0.634
Talaria Global Equity,-0.001,0.602,0.413,0.08,-0.08,0.253,-0.545,18.82,9.833,1.48,-1.282,3.627
global pws,0.003,0.757,0.029,0.182,-0.038,0.021,3.17,24.358,0.899,3.962,-0.682,0.318
qsml,0.005,0.984,-0.19,0.645,-0.046,0.158,4.282,26.931,-3.555,10.058,-0.675,1.979
qus,0.003,1.071,0.214,0.416,-0.14,0.221,4.935,51.043,7.046,11.396,-3.553,4.813
qual,0.004,0.921,-0.232,-0.18,-0.076,0.202,8.424,61.348,-10.686,-6.894,-2.703,6.138
plato,0.007,0.996,0.032,-0.101,0.058,0.008,3.357,14.788,0.495,-1.065,0.457,0.052
vgs,0.002,0.983,0.032,0.004,0.007,0.021,10.569,138.698,3.095,0.325,0.528,1.38
vlue,0.001,1.02,0.573,0.074,-0.167,0.155,0.77,31.001,14.033,1.379,-2.605,2.103
proposed_portfolio_pws,0.001,0.876,0.033,0.173,-0.084,0.103,1.051,27.929,1.033,3.632,-1.506,1.552
